horario,ear,status
17:37:33,0.258,Normal
17:37:33,0.258,Normal
17:37:33,0.229,Fadiga
17:37:33,0.196,Fadiga
17:37:33,0.223,Fadiga
17:37:33,0.223,Fadiga
17:37:33,0.221,Fadiga
17:37:34,0.225,Fadiga
17:37:34,0.207,Fadiga
17:37:34,0.23,Fadiga
17:37:34,0.224,Fadiga
17:37:34,0.231,Fadiga
17:37:34,0.224,Fadiga
17:37:34,0.226,Fadiga
17:37:34,0.225,Fadiga
17:37:34,0.221,Fadiga
17:37:34,0.232,Fadiga
17:37:34,0.217,Fadiga
17:37:34,0.23,Fadiga
17:37:34,0.202,Fadiga
17:37:34,0.181,Fadiga
17:37:34,0.181,Fadiga
17:37:34,0.183,Fadiga
17:37:34,0.183,Fadiga
17:37:34,0.183,Fadiga
17:37:34,0.162,Fadiga
17:37:34,0.147,Fadiga
17:37:34,0.128,Fadiga
17:37:34,0.108,Fadiga
17:37:34,0.131,Fadiga
17:37:34,0.1,Fadiga
17:37:34,0.106,Fadiga
17:37:34,0.101,Fadiga
17:37:34,0.124,Fadiga
17:37:34,0.113,Fadiga
17:37:34,0.136,Fadiga
17:37:34,0.147,Fadiga
17:37:34,0.154,Fadiga
17:37:35,0.145,Fadiga
17:37:35,0.132,Fadiga
17:37:35,0.141,Fadiga
17:37:35,0.133,Fadiga
17:37:35,0.147,Fadiga
17:37:35,0.115,Fadiga
17:37:35,0.136,Fadiga
17:37:35,0.137,Fadiga
17:37:35,0.137,Fadiga
17:37:35,0.158,Fadiga
17:37:35,0.181,Fadiga
17:37:35,0.186,Fadiga
17:37:35,0.227,Fadiga
17:37:35,0.241,Fadiga
17:37:35,0.247,Fadiga
17:37:35,0.282,Normal
17:37:35,0.329,Normal
17:37:35,0.3,Normal
17:37:35,0.317,Normal
17:37:35,0.314,Normal
17:37:35,0.321,Normal
17:37:35,0.342,Normal
17:37:35,0.309,Normal
17:37:35,0.313,Normal
17:37:35,0.318,Normal
17:37:35,0.335,Normal
17:37:35,0.338,Normal
17:37:35,0.306,Normal
17:37:35,0.324,Normal
17:37:36,0.325,Normal
17:37:36,0.338,Normal
17:37:36,0.333,Normal
17:37:36,0.338,Normal
17:37:36,0.337,Normal
17:37:36,0.338,Normal
17:37:36,0.358,Normal
17:37:36,0.334,Normal
17:37:36,0.321,Normal
17:37:36,0.315,Normal
17:37:36,0.327,Normal
17:37:36,0.3,Normal
17:37:36,0.326,Normal
17:37:36,0.344,Normal
17:37:36,0.34,Normal
17:37:36,0.354,Normal
17:37:36,0.33,Normal
17:37:36,0.333,Normal
17:37:36,0.325,Normal
17:37:36,0.331,Normal
17:37:36,0.299,Normal
17:37:36,0.305,Normal
17:37:36,0.312,Normal
17:37:36,0.289,Normal
17:37:36,0.294,Normal
17:37:36,0.282,Normal
17:37:36,0.296,Normal
17:37:36,0.295,Normal
17:37:36,0.302,Normal
17:37:36,0.292,Normal
17:37:36,0.292,Normal
17:37:37,0.319,Normal
17:37:37,0.3,Normal
17:37:37,0.304,Normal
17:37:37,0.306,Normal
17:37:37,0.321,Normal
17:37:37,0.317,Normal
17:37:37,0.327,Normal
17:37:37,0.325,Normal
17:37:37,0.339,Normal
17:37:37,0.328,Normal
17:37:37,0.323,Normal
17:37:37,0.343,Normal
17:37:37,0.341,Normal
17:37:37,0.342,Normal
17:37:37,0.353,Normal
17:37:37,0.342,Normal
17:37:37,0.339,Normal
17:37:37,0.3,Normal
17:37:37,0.288,Normal
17:37:37,0.314,Normal
17:37:37,0.301,Normal
17:37:37,0.314,Normal
17:37:37,0.312,Normal
17:37:37,0.312,Normal
17:37:37,0.3,Normal
17:37:37,0.293,Normal
17:37:37,0.295,Normal
17:37:37,0.314,Normal
17:37:37,0.317,Normal
17:37:37,0.291,Normal
17:37:38,0.308,Normal
17:37:38,0.296,Normal
17:37:38,0.321,Normal
17:37:38,0.316,Normal
17:37:38,0.324,Normal
17:37:38,0.311,Normal
17:37:38,0.324,Normal
17:37:38,0.288,Normal
17:37:38,0.294,Normal
17:37:38,0.27,Normal
17:37:38,0.27,Normal
17:37:38,0.274,Normal
17:37:38,0.242,Fadiga
17:37:38,0.226,Fadiga
17:37:38,0.204,Fadiga
17:37:38,0.184,Fadiga
17:37:38,0.202,Fadiga
17:37:38,0.202,Fadiga
17:37:38,0.181,Fadiga
17:37:38,0.188,Fadiga
17:37:38,0.179,Fadiga
17:37:38,0.159,Fadiga
17:37:38,0.163,Fadiga
17:37:38,0.172,Fadiga
17:37:38,0.154,Fadiga
17:37:38,0.142,Fadiga
17:37:38,0.115,Fadiga
17:37:38,0.122,Fadiga
17:37:38,0.139,Fadiga
17:37:39,0.142,Fadiga
17:37:39,0.138,Fadiga
17:37:39,0.161,Fadiga
17:37:39,0.149,Fadiga
17:37:39,0.145,Fadiga
17:37:39,0.17,Fadiga
17:37:39,0.161,Fadiga
17:37:39,0.165,Fadiga
17:37:39,0.169,Fadiga
17:37:39,0.165,Fadiga
17:37:39,0.164,Fadiga
17:37:39,0.186,Fadiga
